,SiteID,Campaign,Quantrich,PC_rich,brdnetEst,CSpcRich,PC_richness_AllSpecies,PC_richness_BNSpecies
1,s2lam001_230725,Wet season,5,2,2,1,2,1
2,s2lam001_230802,Wet season,4,4,1,2,4,2
3,s2lam001_230809,Wet season,7,4,2,4,4,3
4,s2lam001_230815,Wet season,19,9,10,3,5,3
5,s2lam001_231001,Dry season,15,7,6,3,5,3
6,s2lam001_231013,Dry season,30,19,12,9,17,9
7,s2lam001_231117,Dry season,12,6,4,2,5,2
8,s2lam002_231103,Dry season,18,11,10,6,6,6
9,s2lam002_231127,Dry season,22,2,10,1,2,1
10,s2lam003_230823,Wet season,14,20,3,10,15,10
11,s2lam003_231103,Dry season,20,13,10,7,8,7
12,s2lam003_231127,Dry season,14,12,9,3,6,3
13,s2lam006_230823,Wet season,13,17,8,11,14,11
14,s2lam006_231103,Dry season,20,20,12,11,12,10
15,s2lam006_231127,Dry season,14,4,9,2,4,2
16,s2lam010_231103,Dry season,13,11,7,7,7,7
17,s2lam010_231127,Dry season,14,4,8,2,4,2
18,s2lam015_230907,Wet season,13,2,4,2,2,2
19,s2lam015_231018,Dry season,13,7,3,3,5,3
20,s2lam015_231107,Dry season,23,6,15,3,6,3
21,s2lam015_231128,Dry season,23,4,13,3,4,3
22,s2lam016_230703,Wet season,14,13,2,6,8,5
23,s2lam016_230711,Wet season,18,15,5,9,14,9
24,s2lam016_230718,Wet season,10,10,4,6,8,6
25,s2lam016_230725,Wet season,10,7,4,5,6,4
26,s2lam016_230804,Wet season,13,7,3,4,4,3
27,s2lam016_230811,Wet season,14,6,6,3,4,3
28,s2lam016_230818,Wet season,24,14,14,6,10,7
29,s2lam016_230829,Wet season,25,15,12,9,12,8
30,s2lam016_231011,Dry season,12,16,10,7,13,7
31,s2lam016_231020,Dry season,24,14,10,11,12,10
32,s2lam016_231027,Dry season,13,16,4,5,8,5
33,s2lam016_231103,Dry season,19,12,5,9,11,6
34,s2lam016_231110,Dry season,14,2,4,2,2,1
35,s2lam016_231117,Dry season,16,10,7,5,7,3
36,s2lam016_231125,Dry season,25,8,9,5,8,4
37,s2lam017_230823,Wet season,9,15,3,7,12,7
38,s2lam017_231108,Dry season,17,8,11,6,7,6
39,s2lam017_231128,Dry season,22,2,14,NA,2,0
40,s2lam020_230810,Wet season,9,4,1,3,4,3
41,s2lam020_231010,Dry season,18,13,3,8,10,8
42,s2lam020_231028,Dry season,6,16,3,7,11,7
43,s2lam020_231117,Dry season,22,12,10,6,11,6
44,s2lam021_230718,Wet season,18,7,9,3,7,3
45,s2lam021_230810,Wet season,10,6,6,5,6,5
46,s2lam021_231110,Dry season,12,7,5,4,6,4
47,s2lam021_231117,Dry season,18,6,13,4,5,4
48,s2lam022_230714,Wet season,19,8,13,5,8,5
49,s2lam022_230726,Wet season,16,3,11,2,2,2
50,s2lam022_230808,Wet season,6,1,0,NA,1,0
51,s2lam022_231106,Dry season,7,2,1,2,2,2
52,s2lam023_231010,Dry season,14,10,6,4,7,4
53,s2lam023_231028,Dry season,17,13,12,5,10,5
54,s2lam023_231117,Dry season,24,6,23,2,5,2
55,s2lam025_230721,Wet season,11,1,5,1,1,1
56,s2lam026_230605,Wet season,12,2,6,2,2,2
57,s2lam026_230630,Wet season,6,11,2,4,5,4
58,s2lam026_230807,Wet season,13,9,9,2,8,2
59,s2lam026_230812,Wet season,23,9,11,4,5,4
60,s2lam026_231010,Dry season,18,10,11,6,9,6
61,s2lam026_231029,Dry season,19,15,14,7,9,7
62,s2lam026_231117,Dry season,22,4,18,2,3,2
63,s2lam027_231103,Dry season,9,7,3,6,6,6
64,s2lam029_230714,Wet season,22,8,16,7,8,6
65,s2lam029_230808,Wet season,18,5,7,4,5,4
66,s2lam029_231114,Dry season,24,5,12,NA,4,0
67,s2lam030_230704,Wet season,11,3,8,2,3,2
68,s2lam030_230811,Wet season,22,11,11,8,11,8
69,s2lam030_230826,Wet season,15,3,10,2,3,2
70,s2lam030_231025,Dry season,18,6,10,4,6,4
71,s2lam030_231031,Dry season,17,5,4,2,5,2
72,s2lam030_231106,Dry season,19,6,11,2,6,2
73,s2lam032_230726,Wet season,27,8,20,6,8,5
74,s2lam032_230822,Wet season,19,5,7,3,5,2
75,s2lam032_231010,Dry season,9,3,3,3,3,3
76,s2lam032_231106,Dry season,9,5,4,3,5,3
77,s2lam037_230705,Wet season,13,3,9,2,3,2
78,s2lam037_230805,Wet season,13,5,7,1,4,1
79,s2lam037_230812,Wet season,14,7,5,3,7,3
80,s2lam037_230826,Wet season,10,3,5,3,3,3
81,s2lam037_231025,Dry season,13,2,6,1,2,1
82,s2lam037_231031,Dry season,19,9,15,3,8,3
83,s2lam037_231106,Dry season,14,15,9,3,12,3
84,s2lam038_230703,Wet season,16,16,9,7,13,5
85,s2lam038_230711,Wet season,16,13,9,9,12,6
86,s2lam038_230718,Wet season,8,9,6,4,5,4
87,s2lam038_230725,Wet season,19,16,8,6,11,5
88,s2lam038_230804,Wet season,17,9,4,5,6,4
89,s2lam038_230811,Wet season,17,14,6,6,10,5
90,s2lam038_230819,Wet season,22,19,12,11,15,9
91,s2lam038_230829,Wet season,24,10,16,5,8,5
92,s2lam038_231011,Dry season,27,7,18,6,7,6
93,s2lam038_231020,Dry season,28,19,27,11,16,8
94,s2lam038_231027,Dry season,23,30,15,9,12,9
95,s2lam038_231103,Dry season,19,10,13,7,8,6
96,s2lam038_231110,Dry season,22,6,9,3,3,3
97,s2lam038_231117,Dry season,18,12,12,9,10,7
98,s2lam038_231125,Dry season,5,2,6,2,2,2
99,s2lam039_231005,Dry season,11,14,2,4,9,4
100,s2lam040_230703,Wet season,14,10,10,6,9,6
101,s2lam040_230711,Wet season,17,13,3,7,10,8
102,s2lam040_230718,Wet season,23,12,11,5,9,5
103,s2lam040_230725,Wet season,16,12,5,7,9,5
104,s2lam040_230804,Wet season,23,15,4,8,11,6
105,s2lam040_230811,Wet season,19,13,5,7,10,7
106,s2lam040_230818,Wet season,24,17,15,7,13,5
107,s2lam040_230829,Wet season,13,5,8,3,4,2
108,s2lam040_231011,Dry season,27,24,20,14,22,13
109,s2lam040_231020,Dry season,23,12,19,7,7,5
110,s2lam040_231027,Dry season,24,20,15,4,8,4
111,s2lam040_231103,Dry season,20,10,11,8,9,8
112,s2lam040_231110,Dry season,18,6,11,5,5,3
113,s2lam040_231117,Dry season,14,8,10,3,5,4
114,s2lam040_231125,Dry season,24,4,16,2,3,2
115,s2lam040_231130,Dry season,25,5,8,3,4,2
116,s2lam041_230703,Wet season,19,12,9,7,12,6
117,s2lam041_230711,Wet season,20,18,6,7,12,5
118,s2lam041_230718,Wet season,10,12,4,5,8,5
119,s2lam041_230804,Wet season,16,10,8,6,8,4
120,s2lam041_230811,Wet season,16,8,5,4,5,4
121,s2lam041_231004,Dry season,23,18,17,11,17,11
122,s2lam041_231011,Dry season,22,14,14,7,11,8
123,s2lam041_231020,Dry season,23,14,13,11,13,10
124,s2lam041_231027,Dry season,13,22,5,6,8,6
125,s2lam041_231103,Dry season,18,6,4,4,4,2
126,s2lam041_231110,Dry season,15,7,10,6,6,5
127,s2lam041_231117,Dry season,15,9,4,7,9,5
128,s2lam041_231125,Dry season,14,5,8,2,4,2
129,s2lam041_231130,Dry season,16,2,6,2,2,1
130,s2lam042_230805,Wet season,18,5,7,2,4,2
131,s2lam042_230826,Wet season,15,4,4,2,3,2
132,s2lam042_231025,Dry season,18,4,7,1,4,1
133,s2lam042_231031,Dry season,14,6,8,4,6,4
134,s2lam042_231106,Dry season,16,7,8,3,6,3
135,s2lam044_230809,Wet season,14,3,7,NA,3,0
136,s2lam044_230815,Wet season,15,7,9,4,6,4
137,s2lam044_230930,Dry season,18,10,12,5,9,5
138,s2lam044_231026,Dry season,15,7,8,4,5,4
139,s2lam044_231117,Dry season,24,18,17,11,16,11
140,s2lam045_230808,Wet season,25,3,16,3,3,3
141,s2lam045_231011,Dry season,15,10,8,2,9,2
142,s2lam045_231022,Dry season,23,14,22,4,12,4
143,s2lam045_231028,Dry season,22,19,12,9,14,9
144,s2lam045_231110,Dry season,11,6,5,3,6,3
145,s2lam045_231117,Dry season,17,9,15,4,8,4
146,s2lam046_230705,Wet season,12,3,4,3,3,3
147,s2lam046_230805,Wet season,11,3,3,2,3,2
148,s2lam046_230812,Wet season,-99,6,3,3,6,3
149,s2lam046_230826,Wet season,-99,2,6,2,2,2
150,s2lam046_231031,Dry season,13,9,10,5,8,5
151,s2lam046_231106,Dry season,19,4,10,3,4,3
152,s2lam047_230823,Wet season,-99,15,5,6,10,6
153,s2lam047_231107,Dry season,11,9,8,4,8,4
154,s2lam049_230809,Wet season,-99,18,18,8,15,8
155,s2lam049_230815,Wet season,6,4,5,3,3,3
156,s2lam049_230930,Dry season,17,15,12,7,13,7
157,s2lam050_230705,Wet season,16,5,15,3,5,3
158,s2lam050_230805,Wet season,12,4,9,3,4,3
159,s2lam050_230812,Wet season,14,6,9,5,6,5
160,s2lam050_230826,Wet season,22,5,8,4,5,4
161,s2lam051_230710,Wet season,14,32,13,9,11,9
162,s2lam052_230710,Wet season,15,20,9,6,8,6
163,s2lam052_231103,Dry season,20,11,10,9,9,9
164,s2lam052_231128,Dry season,24,5,12,1,5,1
165,s2lam054_230605,Wet season,10,4,5,2,3,2
166,s2lam054_230630,Wet season,12,12,4,4,4,4
167,s2lam054_230807,Wet season,20,6,11,4,5,4
168,s2lam054_230812,Wet season,18,12,10,6,8,6
169,s2lam055_230907,Wet season,7,3,2,1,3,1
170,s2lam055_231018,Dry season,13,2,5,NA,2,0
171,s2lam056_230907,Wet season,13,4,7,3,4,3
172,s2lam056_231018,Dry season,14,4,7,4,4,4
173,s2lam056_231107,Dry season,19,12,11,5,8,5
