common_name,false_n,not_certain,true_n,total
Helmeted Guineafowl,25,0,0,25
African Emerald Cuckoo,20,0,0,20
Victorin's Warbler,20,0,0,20
Cape Rock Thrush,15,0,0,15
Common Waxbill,12,0,0,12
Blue-mantled Crested Flycatcher,10,0,0,10
Little Grebe,10,0,0,10
Fiscal Flycatcher,19,0,1,20
Green-backed Camaroptera,16,1,5,22
Barn Owl,11,0,5,16
Knysna Warbler,15,0,10,25
Red-eyed Dove,10,0,15,25
Karoo Long-billed Lark,10,0,20,30
Olive Thrush,7,0,17,24
Bokmakierie,4,0,10,14
Karoo Prinia,7,0,18,25
Southern Double-collared Sunbird,6,0,17,23
Cape Batis,5,0,16,21
Egyptian Goose,5,0,20,25
Cape Grassbird,2,0,12,14
Yellow Bishop,3,0,22,25
Levaillant's Cisticola,2,0,17,19
White-backed Mousebird,2,0,23,25
Grey Sunbird,1,0,24,25
Bar-throated Apalis,8,3,33,44
Cape Clapper Lark,0,0,30,30
Hadeda Ibis,0,0,30,30
Fiery-necked Nightjar,0,0,25,25
Neddicky,0,0,25,25
Red-chested Cuckoo,0,0,25,25
Red-faced Mousebird,0,0,25,25
Grey-backed Cisticola,0,0,25,25
Fairy Flycatcher,0,0,24,24
Malachite Sunbird,0,0,21,21
Cape Robin-Chat,0,7,13,20
White-starred Robin,0,0,20,20
Orange-breasted Sunbird,0,0,19,19
Cape Canary,0,6,12,18
Cape White-eye,0,0,15,15
Red-winged Starling,0,5,10,15
African Pied Starling,0,0,9,9
African Dusky Flycatcher,0,1,6,7
Cape Rockjumper,0,0,7,7
