common_name, Scientific name,PC,BN,Both ,Overlap,Adjusted P, Sig.,xc_global,xc_SA,xc_global
Greater Double-collared Sunbird,Cinnyris afer,53,26,14,21.5,<0.001,***,50,48,0.96
Black-backed Puffback,Dryoscopus cubla,41,14,1,1.9,<0.001,***,388,123,0.317010309
Cape Turtle Dove,Streptopelia capicola,107,64,16,10.3,<0.001,***,263,109,0.414448669
Cape Sugarbird,Promerops cafer,81,49,18,16.1,<0.01,***,64,64,1
Familiar Chat,Oenanthe familiaris,53,30,6,7.8,<0.05,*,41,28,0.682926829
Black-headed Oriole,Oriolus larvatus,95,79,50,40.3,0.1,ns,266,123,0.462406015
Sombre Greenbul,Andropadus importunus,176,160,112,50,0.18,ns,442,278,0.628959276
Southern Boubou,Laniarius ferrugineus,124,109,47,25.3,0.26,ns,197,197,1
Cape Weaver,Ploceus capensis,32,24,7,14.3,0.31,ns,56,56,1
Knysna Turaco,Tauraco corythaix,45,43,21,31.3,0.89,ns,43,43,1
Yellow-throated Woodland Warbler,Phylloscopus ruficapilla,19,18,5,15.6,1,ns,62,29,0.467741935
Cape Bunting,Emberiza capensis,159,166,74,29.5,0.68,ns,68,58,0.852941176
Narina Trogon,Apaloderma narina,15,20,6,20.7,0.42,ns,123,37,0.300813008
Cape Bulbul,Pycnonotus capensis,111,124,42,21.8,0.35,ns,83,83,1
Cape Rockjumper,Chaetops frenatus,19,29,6,14.3,0.16,ns,15,15,1
Yellow Bishop,Euplectes capensis,37,690,35,5.1,<0.001,***,51,25,0.490196078
Common Waxbill,Estrilda astrild,15,567,13,2.3,<0.001,***,388,32,0.082474227
Red-winged Starling,Onychognathus morio,56,560,46,8.1,<0.001,***,80,53,0.6625
Victorin's Warbler,Cryptillas victorini,51,504,48,9.5,<0.001,***,49,49,1
Cape Grassbird,Sphenoeacus afer,126,566,115,19.9,<0.001,***,64,60,0.9375
Bokmakierie,Telophorus zeylonus,106,478,90,18.2,<0.001,***,218,210,0.963302752
Grey-backed Cisticola,Cisticola subruficapilla,5,357,0,0,<0.001,***,58,58,1
Hadeda Ibis,Bostrychia hagedash,40,371,32,8.4,<0.001,***,276,128,0.463768116
Cape Robin-Chat,Cossypha caffra,141,492,119,23.2,<0.001,***,264,207,0.784090909
Fiscal Flycatcher,Melaenornis silens,16,325,15,4.6,<0.001,***,86,86,1
Cape Rock Thrush,Monticola rupestris,15,292,7,2.3,<0.001,***,50,49,0.98
Karoo Prinia,Prinia maculosa,355,663,311,44,<0.001,***,122,122,1
Green-backed Camaroptera,Camaroptera brachyura,8,224,6,2.7,<0.001,***,216,141,0.652777778
Little Grebe,Tachybaptus ruficollis,8,221,3,1.3,<0.001,***,2099,32,0.015245355
Cape White-eye,Zosterops virens,175,358,145,37.4,<0.001,***,137,134,0.97810219
Helmeted Guineafowl,Numida meleagris,8,149,5,3.3,<0.001,***,174,74,0.425287356
Fiery-necked Nightjar,Caprimulgus pectoralis,2,126,0,0,<0.001,***,137,85,0.620437956
Cape Canary,Serinus canicollis,58,211,32,13.5,<0.001,***,74,71,0.959459459
Malachite Sunbird,Nectarinia famosa,78,235,48,18.1,<0.001,***,97,76,0.783505155
Cape Batis,Batis capensis,48,195,25,11.5,<0.001,***,120,97,0.808333333
Neddicky,Cisticola fulvicapilla,4,103,0,0,<0.001,***,78,65,0.833333333
African Emerald Cuckoo,Chrysococcyx cupreus,5,85,5,5.9,<0.001,***,157,19,0.121019108
Orange-breasted Sunbird,Anthobaphes violacea,162,290,120,36.1,<0.001,***,26,26,1
Red-chested Cuckoo,Cuculus solitarius,25,92,24,25.8,<0.001,***,234,65,0.277777778
Egyptian Goose,Alopochen aegyptiaca,32,116,17,13,<0.001,***,404,71,0.175742574
Blue-mantled Crested Flycatcher,Trochocercus cyanomelas,5,69,4,5.7,<0.001,***,81,40,0.49382716
Southern Double-collared Sunbird,Cinnyris chalybeus,244,372,159,34.8,<0.001,***,149,149,1
Levaillant's Cisticola,Cisticola tinniens,10,63,8,12.3,<0.001,***,84,72,0.857142857
Bar-throated Apalis,Apalis thoracica,116,208,70,27.6,<0.001,***,214,128,0.598130841
African Dusky Flycatcher,Muscicapa adusta,5,51,3,5.7,<0.001,***,97,40,0.412371134
Red-faced Mousebird,Urocolius indicus,13,64,4,5.5,<0.001,***,64,50,0.78125
Olive Thrush,Turdus olivaceus,34,94,15,13.3,<0.001,***,75,72,0.96
Karoo Long-billed Lark,Certhilauda subcoronata,3,42,2,4.7,<0.001,***,38,36,0.947368421
White-starred Robin,Pogonocichla stellata,4,40,2,4.8,<0.001,***,80,8,0.1
Knysna Warbler,Bradypterus sylvaticus,2,33,1,2.9,<0.001,***,74,74,1
Cape Clapper Lark,Mirafra apiata,25,69,11,13.3,<0.001,***,43,43,1
African Pied Starling,Lamprotornis bicolor,7,33,2,5.3,<0.001,***,19,19,1
Grey Sunbird,Cyanomitra veroxii,17,41,13,28.9,<0.001,***,113,76,0.672566372
White-backed Mousebird,Colius colius,7,28,4,12.9,<0.001,***,39,33,0.846153846
Fairy Flycatcher,Stenostira scita,8,25,5,17.9,<0.01,**,55,55,1
Red-eyed Dove,Streptopelia semitorquata,33,55,6,7.3,<0.05,*,196,70,0.357142857
Barn Owl,Tyto alba,0,486,0,0,NA,NA,1864,28,0.015021459
Black Cuckoo,Cuculus clamosus,0,15,0,0,NA,NA,140,50,0.357142857
